Title,Authors,Year,Publisher,Citations,Link,References
The rise and potential of large language model based agents: A survey,"Z Xi, W Chen, X Guo, W He, Y Ding, B Hong… ",2025,Springer,810,https://link.springer.com/article/10.1007/s11432-024-4222-0,"https://scholar.google.com/scholar?q=related:9qD8tGx1_AUJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Large language models can self-improve,"J Huang, SS Gu, L Hou, Y Wu, X Wang, H Yu… ",2022,arxiv,522,https://arxiv.org/abs/2210.11610,"https://scholar.google.com/scholar?q=related:Pmy39Yp6r5gJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
A systematic evaluation of large language models of code,"FF Xu, U Alon, G Neubig, VJ Hellendoorn ",2022,dl,707,https://dl.acm.org/doi/abs/10.1145/3520312.3534862,"https://scholar.google.com/scholar?q=related:-iQSW0h72hYJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Large language model based multi-agents: A survey of progress and challenges,"T Guo, X Chen, Y Wang, R Chang, S Pei… ",2024,arxiv,353,https://arxiv.org/abs/2402.01680,"https://scholar.google.com/scholar?q=related:4KLSncesGc8J:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Emergent abilities of large language models,"J Wei, Y Tay, R Bommasani, C Raffel, B Zoph… ",2022,arxiv,3140,https://arxiv.org/abs/2206.07682,"https://scholar.google.com/scholar?q=related:hG0iVOrOguoJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
A study of generative large language model for medical research and healthcare,"C Peng, X Yang, A Chen, KE Smith… ",2023,nature,241,https://www.nature.com/articles/s41746-023-00958-w,"https://scholar.google.com/scholar?q=related:C00uSsm7OnIJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Openassistant conversations-democratizing large language model alignment,"A Köpf, Y Kilcher, D Von Rütte… ",2023,proceedings,543,https://proceedings.neurips.cc/paper_files/paper/2023/hash/949f0f8f32267d297c2d4e3ee10a2e7e-Abstract-Datasets_and_Benchmarks.html,"https://scholar.google.com/scholar?q=related:XHACuQPwGKwJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Welcome to the era of chatgpt et al. the prospects of large language models,"T Teubner, CM Flath, C Weinhardt… ",2023,Springer,372,https://link.springer.com/article/10.1007/s12599-023-00795-x,"https://scholar.google.com/scholar?q=related:3UrgC1BmpV8J:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Evaluating large language models trained on code,"M Chen, J Tworek, H Jun, Q Yuan, HPDO Pinto… ",2021,arxiv,4161,https://arxiv.org/abs/2107.03374,"https://scholar.google.com/scholar?q=related:3tNvW3l5nU4J:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
The era of 1-bit llms: All large language models are in 1.58 bits,"S Ma, H Wang, L Ma, L Wang… ",2024,storage,185,https://storage.prod.researchhub.com/uploads/papers/2024/02/29/2402.17764.pdf,"https://scholar.google.com/scholar?q=related:GI2nY7Vp2eoJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Autoformalization with large language models,"Y Wu, AQ Jiang, W Li, M Rabe… ",2022,proceedings,177,https://proceedings.neurips.cc/paper_files/paper/2022/hash/d0c6bc641a56bebee9d985b937307367-Abstract-Conference.html,"https://scholar.google.com/scholar?q=related:J6e5D10SvdUJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
ChatGPT for shaping the future of dentistry: the potential of multi-modal large language model,"H Huang, O Zheng, D Wang, J Yin, Z Wang… ",2023,nature,212,https://www.nature.com/articles/s41368-023-00239-y,"https://scholar.google.com/scholar?q=related:mrSNsguia3gJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
"{MegaScale}: Scaling large language model training to more than 10,000 {GPUs}","Z Jiang, H Lin, Y Zhong, Q Huang, Y Chen… ",2024,usenix,110,https://www.usenix.org/conference/nsdi24/presentation/jiang-ziheng,"https://scholar.google.com/scholar?q=related:rNNq1I8d0L4J:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Kosmos-2: Grounding multimodal large language models to the world,"Z Peng, W Wang, L Dong, Y Hao, S Huang… ",2023,arxiv,645,https://arxiv.org/abs/2306.14824,"https://scholar.google.com/scholar?q=related:hQsLFD93VtYJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Using large language models in psychology,"D Demszky, D Yang, DS Yeager, CJ Bryan… ",2023,nature,219,https://www.nature.com/articles/s44159-023-00241-5,"https://scholar.google.com/scholar?q=related:IOa0oC5AOIkJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
mplug-owl2: Revolutionizing multi-modal large language model with modality collaboration,"Q Ye, H Xu, J Ye, M Yan, A Hu, H Liu… ",2024,openaccess,373,http://openaccess.thecvf.com/content/CVPR2024/html/Ye_mPLUG-Owl2_Revolutionizing_Multi-modal_Large_Language_Model_with_Modality_Collaboration_CVPR_2024_paper.html,"https://scholar.google.com/scholar?q=related:cPqiY-ex1MsJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Challenges and applications of large language models,"J Kaddour, J Harris, M Mozes, H Bradley… ",2023,arxiv,518,https://arxiv.org/abs/2307.10169,"https://scholar.google.com/scholar?q=related:YCygM0k2CoYJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Explainability for large language models: A survey,"H Zhao, H Chen, F Yang, N Liu, H Deng, H Cai… ",2024,dl,479,https://dl.acm.org/doi/abs/10.1145/3639372,"https://scholar.google.com/scholar?q=related:0AqRKEINMw4J:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Summary of chatgpt-related research and perspective towards the future of large language models,"Y Liu, T Han, S Ma, J Zhang, Y Yang, J Tian, H He, A Li… ",2023,Elsevier,1040,https://www.sciencedirect.com/science/article/pii/S2950162823000176,"https://scholar.google.com/scholar?q=related:9b297h0ci9oJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Talking about large language models,M Shanahan ,2024,dl,417,https://dl.acm.org/doi/abs/10.1145/3624724,"https://scholar.google.com/scholar?q=related:3eYYI745r_0J:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Minigpt-4: Enhancing vision-language understanding with advanced large language models,"D Zhu, J Chen, X Shen, X Li, M Elhoseiny ",2023,arxiv,2639,https://arxiv.org/abs/2304.10592,"https://scholar.google.com/scholar?q=related:og8AmoGNFBoJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Large language model unlearning,"Y Yao, X Xu, Y Liu ",2024,proceedings,161,https://proceedings.neurips.cc/paper_files/paper/2024/hash/be52acf6bccf4a8c0a90fe2f5cfcead3-Abstract-Conference.html,"https://scholar.google.com/scholar?q=related:B8vkvPemvCUJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Large language models in machine translation,"T Brants, A Popat, P Xu, FJ Och… ",2007,aclanthology,868,https://aclanthology.org/D07-1090.pdf,"https://scholar.google.com/scholar?q=related:sY5m_Y3-0Y4J:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Large language model guided tree-of-thought,J Long ,2023,arxiv,189,https://arxiv.org/abs/2305.08291,"https://scholar.google.com/scholar?q=related:q-snLBWD84wJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Instruction tuning for large language models: A survey,"S Zhang, L Dong, X Li, S Zhang, X Sun, S Wang… ",2023,arxiv,797,https://arxiv.org/abs/2308.10792,"https://scholar.google.com/scholar?q=related:IJUXfffv05YJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Training compute-optimal large language models,"J Hoffmann, S Borgeaud, A Mensch… ",2022,arxiv,2025,https://arxiv.org/abs/2203.15556,"https://scholar.google.com/scholar?q=related:wEmD6BMp1T4J:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Can large language models reason about medical questions?,"V Liévin, CE Hother, AG Motzfeldt, O Winther ",2024,cell,298,https://www.cell.com/patterns/fulltext/S2666-3899(24)00042-4,"https://scholar.google.com/scholar?q=related:0pxn5pYal2gJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Wordcraft: story writing with large language models,"A Yuan, A Coenen, E Reif, D Ippolito ",2022,dl,428,https://dl.acm.org/doi/abs/10.1145/3490099.3511105,"https://scholar.google.com/scholar?q=related:XjSGH5_5fQ4J:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Science in the age of large language models,"A Birhane, A Kasirzadeh, D Leslie… ",2023,nature,268,https://www.nature.com/articles/s42254-023-00581-4,"https://scholar.google.com/scholar?q=related:pdjksBsNwjEJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Redpajama: an open dataset for training large language models,"M Weber, D Fu, Q Anthony, Y Oren… ",2024,proceedings,33,https://proceedings.neurips.cc/paper_files/paper/2024/hash/d34497330b1fd6530f7afd86d0df9f76-Abstract-Datasets_and_Benchmarks_Track.html,"https://scholar.google.com/scholar?q=related:mKDJAlt2BdwJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Extracting training data from large language models,"N Carlini, F Tramer, E Wallace, M Jagielski… ",2021,usenix,2069,https://www.usenix.org/conference/usenixsecurity21/presentation/carlini-extracting,"https://scholar.google.com/scholar?q=related:mEYsWK6bWKoJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
ChatGPT and large language models in academia: opportunities and challenges,"JG Meyer, RJ Urbanowicz, PCN Martin, K O'Connor… ",2023,Springer,454,https://link.springer.com/article/10.1186/s13040-023-00339-9,"https://scholar.google.com/scholar?q=related:Gn2oKgMDg48J:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Tallrec: An effective and efficient tuning framework to align large language model with recommendation,"K Bao, J Zhang, Y Zhang, W Wang, F Feng… ",2023,dl,385,https://dl.acm.org/doi/abs/10.1145/3604915.3608857,"https://scholar.google.com/scholar?q=related:6W9QlDtFL7MJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Efficient memory management for large language model serving with pagedattention,"W Kwon, Z Li, S Zhuang, Y Sheng, L Zheng… ",2023,dl,1519,https://dl.acm.org/doi/abs/10.1145/3600006.3613165,"https://scholar.google.com/scholar?q=related:Pp6q38La9mcJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
A Survey of Multimodel Large Language Models,"Z Liang, Y Xu, Y Hong, P Shang, Q Wang… ",2024,dl,1328,https://dl.acm.org/doi/abs/10.1145/3672758.3672824,"https://scholar.google.com/scholar?q=related:phBPSmZsArYJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
The future landscape of large language models in medicine,"J Clusmann, FR Kolbinger, HS Muti, ZI Carrero… ",2023,nature,517,https://www.nature.com/articles/s43856-023-00370-1,"https://scholar.google.com/scholar?q=related:rFLBW9M5kd0J:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
A careful examination of large language model performance on grade school arithmetic,"H Zhang, J Da, D Lee, V Robinson… ",2024,proceedings,65,https://proceedings.neurips.cc/paper_files/paper/2024/hash/53384f2090c6a5cac952c598fd67992f-Abstract-Datasets_and_Benchmarks_Track.html,"https://scholar.google.com/scholar?q=related:VQDI7ghA_sgJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Bitnet: Scaling 1-bit transformers for large language models,"H Wang, S Ma, L Dong, S Huang… ",2023,assets,201,https://assets.zyrosite.com/mk35pQje91uKR7XE/bit-net-scaling-1-bit-transformers-YbNyEvEMEWub8QP2.pdf,"https://scholar.google.com/scholar?q=related:rY4err_Kw_cJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Large language models as optimizers,"C Yang, X Wang, Y Lu, H Liu, QV Le, D Zhou… ",2023,arxiv,735,https://arxiv.org/abs/2309.03409,"https://scholar.google.com/scholar?q=related:gnxvOaei9CoJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Aligning large language models with human: A survey,"Y Wang, W Zhong, L Li, F Mi, X Zeng, W Huang… ",2023,arxiv,313,https://arxiv.org/abs/2307.12966,"https://scholar.google.com/scholar?q=related:5_egaBXZVSYJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Structgpt: A general framework for large language model to reason over structured data,"J Jiang, K Zhou, Z Dong, K Ye, WX Zhao… ",2023,arxiv,272,https://arxiv.org/abs/2305.09645,"https://scholar.google.com/scholar?q=related:SsDllUAOG_UJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Role play with large language models,"M Shanahan, K McDonell, L Reynolds ",2023,nature,366,https://www.nature.com/articles/s41586-023-06647-8,"https://scholar.google.com/scholar?q=related:tMltOHQr9KAJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
A survey on large language models for recommendation,"L Wu, Z Zheng, Z Qiu, H Wang, H Gu, T Shen, C Qin… ",2024,Springer,348,https://link.springer.com/article/10.1007/s11280-024-01291-2,"https://scholar.google.com/scholar?q=related:zZAMcbt-n6AJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
DeepSeek-Coder: When the Large Language Model Meets Programming--The Rise of Code Intelligence,"D Guo, Q Zhu, D Yang, Z Xie, K Dong, W Zhang… ",2024,arxiv,538,https://arxiv.org/abs/2401.14196,"https://scholar.google.com/scholar?q=related:jWACIX5YVqUJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Wizardcoder: Empowering code large language models with evol-instruct,"Z Luo, C Xu, P Zhao, Q Sun, X Geng, W Hu… ",2023,arxiv,604,https://arxiv.org/abs/2306.08568,"https://scholar.google.com/scholar?q=related:KDFQqLvnZwYJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
"A survey on large language models: Applications, challenges, limitations, and practical usage","MU Hadi, R Qureshi, A Shah, M Irfan, A Zafar… ",2023,techrxiv,372,https://techrxiv.figshare.com/articles/preprint/A_Survey_on_Large_Language_Models_Applications_Challenges_Limitations_and_Practical_Usage/23589741/1/files/41501037.pdf,"https://scholar.google.com/scholar?q=related:GYdgocCnKXgJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
HonestLLM: Toward an honest and helpful large language model,"G Chujie, S Wu, Y Huang, D Chen… ",2024,proceedings,3,https://proceedings.neurips.cc/paper_files/paper/2024/hash/0d99a8c048befb6dd6e17d7684adacac-Abstract-Conference.html,"https://scholar.google.com/scholar?q=related:iOOq-9a6VuQJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Autonomous chemical research with large language models,"DA Boiko, R MacKnight, B Kline, G Gomes ",2023,nature,420,https://www.nature.com/articles/s41586-023-06792-0,"https://scholar.google.com/scholar?q=related:gzZFkshfYHAJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Detecting pretraining data from large language models,"W Shi, A Ajith, M Xia, Y Huang, D Liu, T Blevins… ",2023,arxiv,255,https://arxiv.org/abs/2310.16789,"https://scholar.google.com/scholar?q=related:2yufYZAea2oJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Augmenting large language models with chemistry tools,"A M. Bran, S Cox, O Schilter, C Baldassari… ",2024,nature,226,https://www.nature.com/articles/s42256-024-00832-8,"https://scholar.google.com/scholar?q=related:ehPcclW184AJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Pythia: A suite for analyzing large language models across training and scaling,"S Biderman, H Schoelkopf… ",2023,proceedings,1096,https://proceedings.mlr.press/v202/biderman23a.html,"https://scholar.google.com/scholar?q=related:aaIDvsMAD8QJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
"A survey on large language model (llm) security and privacy: The good, the bad, and the ugly","Y Yao, J Duan, K Xu, Y Cai, Z Sun, Y Zhang ",2024,Elsevier,624,https://www.sciencedirect.com/science/article/pii/S266729522400014X,"https://scholar.google.com/scholar?q=related:QXfWqV108s4J:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
A survey of GPT-3 family large language models including ChatGPT and GPT-4,KS Kalyan ,2024,Elsevier,293,https://www.sciencedirect.com/science/article/pii/S2949719123000456,"https://scholar.google.com/scholar?q=related:aXS6KyhZeY0J:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Prompting large language model for machine translation: A case study,"B Zhang, B Haddow, A Birch ",2023,proceedings,277,https://proceedings.mlr.press/v202/zhang23m.html,"https://scholar.google.com/scholar?q=related:ROxMQfidiqsJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
ChatGPT and other large language models are double-edged swords,"Y Shen, L Heacock, J Elias, KD Hentel, B Reig, G Shih… ",2023,pubs,843,https://pubs.rsna.org/doi/full/10.1148/radiol.230163,"https://scholar.google.com/scholar?q=related:So0q8TRvxhYJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Mathematical discoveries from program search with large language models,B Romera,2024,nature,398,https://www.nature.com/articles/s41586-023-06924-6,"https://scholar.google.com/scholar?q=related:jEl0xz8NdU4J:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Large language models are human-level prompt engineers,"Y Zhou, AI Muresanu, Z Han, K Paster… ",2022,openreview,991,https://openreview.net/forum?id=92gvk82DE-,"https://scholar.google.com/scholar?q=related:dg3URiHhH8sJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Dissociating language and thought in large language models,"K Mahowald, AA Ivanova, IA Blank, N Kanwisher… ",2024,cell,475,https://www.cell.com/trends/cognitive-sciences/abstract/S1364-6613(24)00027-5,"https://scholar.google.com/scholar?q=related:aaKodImODusJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Mathematical discoveries from program search with large language models,B Romera,2024,nature,398,https://www.nature.com/articles/s41586-023-06924-6,"https://scholar.google.com/scholar?q=related:jEl0xz8NdU4J:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Large language models are human-level prompt engineers,"Y Zhou, AI Muresanu, Z Han, K Paster… ",2022,openreview,991,https://openreview.net/forum?id=92gvk82DE-,"https://scholar.google.com/scholar?q=related:dg3URiHhH8sJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Dissociating language and thought in large language models,"K Mahowald, AA Ivanova, IA Blank, N Kanwisher… ",2024,cell,475,https://www.cell.com/trends/cognitive-sciences/abstract/S1364-6613(24)00027-5,"https://scholar.google.com/scholar?q=related:aaKodImODusJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Lisa: Reasoning segmentation via large language model,"X Lai, Z Tian, Y Chen, Y Li, Y Yuan… ",2024,openaccess,426,http://openaccess.thecvf.com/content/CVPR2024/html/Lai_LISA_Reasoning_Segmentation_via_Large_Language_Model_CVPR_2024_paper.html,"https://scholar.google.com/scholar?q=related:Fonas8emAQEJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Large language models are zero-shot reasoners,"T Kojima, SS Gu, M Reid, Y Matsuo… ",2022,proceedings,4385,https://proceedings.neurips.cc/paper_files/paper/2022/hash/8bb0d291acd4acf06ef112099c16f326-Abstract-Conference.html,"https://scholar.google.com/scholar?q=related:BhQq0UsCXjIJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Multimodal large language models: A survey,"J Wu, W Gan, Z Chen, S Wan… ",2023,ieeexplore,187,https://ieeexplore.ieee.org/abstract/document/10386743/,"https://scholar.google.com/scholar?q=related:KVNcK5lM6vcJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Accelerating large language model decoding with speculative sampling,"C Chen, S Borgeaud, G Irving, JB Lespiau… ",2023,arxiv,331,https://arxiv.org/abs/2302.01318,"https://scholar.google.com/scholar?q=related:0JDHikiydOQJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Llama-vid: An image is worth 2 tokens in large language models,"Y Li, C Wang, J Jia ",2024,Springer,242,https://link.springer.com/chapter/10.1007/978-3-031-72952-2_19,"https://scholar.google.com/scholar?q=related:wWyjYTsK_C8J:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Minigpt-v2: large language model as a unified interface for vision-language multi-task learning,"J Chen, D Zhu, X Shen, X Li, Z Liu, P Zhang… ",2023,arxiv,559,https://arxiv.org/abs/2310.09478,"https://scholar.google.com/scholar?q=related:7Cnn28N_GMkJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Meditron-70b: Scaling medical pretraining for large language models,"Z Chen, AH Cano, A Romanou, A Bonnet… ",2023,arxiv,277,https://arxiv.org/abs/2311.16079,"https://scholar.google.com/scholar?q=related:5HAZdakoOgQJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Powerinfer-2: Fast large language model inference on a smartphone,"Z Xue, Y Song, Z Mi, X Zheng, Y Xia, H Chen ",2024,arxiv,38,https://arxiv.org/abs/2406.06282,"https://scholar.google.com/scholar?q=related:j_GiRhp3w8MJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Program synthesis with large language models,"J Austin, A Odena, M Nye, M Bosma… ",2021,arxiv,1541,https://arxiv.org/abs/2108.07732,"https://scholar.google.com/scholar?q=related:AWeLW92cH9MJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Large language models are reasoning teachers,"N Ho, L Schmid, SY Yun ",2022,arxiv,318,https://arxiv.org/abs/2212.10071,"https://scholar.google.com/scholar?q=related:PaqvxoRnhlcJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Leveraging large language models for predictive chemistry,"KM Jablonka, P Schwaller… ",2024,nature,193,https://www.nature.com/articles/s42256-023-00788-1,"https://scholar.google.com/scholar?q=related:AxZJ5nQ81_MJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Opportunities and challenges for ChatGPT and large language models in biomedicine and health,"S Tian, Q Jin, L Yeganova, PT Lai, Q Zhu… ",2024,academic,234,https://academic.oup.com/bib/article-abstract/25/1/bbad493/7505071,"https://scholar.google.com/scholar?q=related:hhKVOjFlmzMJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Blockchain large language models,"Y Gai, L Zhou, K Qin, D Song, A Gervais ",2023,arxiv,1095,https://arxiv.org/abs/2304.12749,"https://scholar.google.com/scholar?q=related:w4BNBXVFyIcJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Large language models struggle to learn long-tail knowledge,"N Kandpal, H Deng, A Roberts… ",2023,proceedings,467,https://proceedings.mlr.press/v202/kandpal23a,"https://scholar.google.com/scholar?q=related:Vn6q7njNsqwJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Visionllm: Large language model is also an open-ended decoder for vision-centric tasks,"W Wang, Z Chen, X Chen, J Wu… ",2023,proceedings,466,https://proceedings.neurips.cc/paper_files/paper/2023/hash/c1f7b1ed763e9c75e4db74b49b76db5f-Abstract-Conference.html,"https://scholar.google.com/scholar?q=related:8WbRQdaUDG4J:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
Can large language models be an alternative to human evaluations?,"CH Chiang, H Lee ",2023,arxiv,517,https://arxiv.org/abs/2305.01937,"https://scholar.google.com/scholar?q=related:FtPc3Iwp1eEJ:scholar.google.com/&scioq=Large+Language+Model&hl=en&as_sdt=0,5"
