Title,Authors,Year,Publisher,Citations,Link
Heart disease prediction using machine learning techniques: a quantitative review,"L Riyaz, MA Butt, M Zaman, O Ayob ",2022, Springer,73,https://link.springer.com/chapter/10.1007/978-981-16-3071-2_8
 Heart disease prediction using machine learning techniques,P Anbuselvan ,2020, academia,72,https://www.academia.edu/download/78971680/heart-disease-prediction-using-machine-learning-techniques-IJERTV9IS110259.pdf
 Heart disease prediction using machine learning,"BU Rindhe, N Ahire, R Patil, S Gagare, M Darade ",2021, academia,51,https://www.academia.edu/download/76212562/HeartDiseasePredictionUsingMachineLearning.pdf
 Machine learning classification techniques for heart disease prediction: a review,"M Aljanabi, MH Qutqut, M Hijjawi ",2018, researchgate,103,https://www.researchgate.net/profile/Maryam-Aljanabi/publication/328031918_Machine_Learning_Classification_Techniques_for_Heart_Disease_Prediction_A_Review/links/5e87ab1c92851c2f527b977f/Machine-Learning-Classification-Techniques-for-Heart-Disease-Prediction-A-Review.pdf
Heart disease prediction using hybrid machine learning: A brief review,"M Ahmed, I Husien ",2024, journal,12,https://journal.umy.ac.id/index.php/jrc/article/view/21606
Latest trends on heart disease prediction using machine learning and image fusion,"M Diwakar, A Tripathi, K Joshi, M Memoria… ",2021, Elsevier,205,https://www.sciencedirect.com/science/article/pii/S2214785320367675
A decision support system for heart disease prediction based upon machine learning,"P Rani, R Kumar, NMOS Ahmed, A Jain ",2021, Springer,314,https://link.springer.com/article/10.1007/S40860-021-00133-6
 Comprehensive evaluation and performance analysis of machine learning in heart disease prediction,HA Al,2024, nature,23,https://www.nature.com/articles/s41598-024-58489-7
 A comprehensive review on heart disease prediction using data mining and machine learning techniques,"L Yahaya, ND Oye, EJ Garba ",2020, academia,109,https://www.academia.edu/download/107724527/10.11648.j.ajai.20200401.12.pdf
MLHeartDisPrediction: heart disease prediction using machine learning,"M Radwan, N Mohamed Abdelrahman… ",2023, journals,20,https://journals.ekb.eg/article_282098.html
Multiple disease prediction using Machine learning algorithms,"K Arumugam, M Naved, PP Shinde… ",2023, Elsevier,182,https://www.sciencedirect.com/science/article/pii/S2214785321052202
Machine learning for real-time heart disease prediction,"D Bertsimas, L Mingardi… ",2021, ieeexplore,82,https://ieeexplore.ieee.org/abstract/document/9380678/
Heart disease prediction using machine learning,"J Patel, AA Khaked, J Patel, J Patel ",2021, Springer,29,https://link.springer.com/chapter/10.1007/978-981-16-0733-2_46
 Heart disease prediction using machine learning techniques,MK Hossen ,2022, researchgate,16,https://www.researchgate.net/profile/Mohammed-Khalid-Hossen/publication/362150416_Heart_Disease_Prediction_Using_Machine_Learning_Techniques/links/62d8bcceaa3d1326c0cc4892/Heart-Disease-Prediction-Using-Machine-Learning-Techniques.pdf?origin=journalDetail&_tp=eyJwYWdlIjoiam91cm5hbERldGFpbCJ9
Cognitive approach for heart disease prediction using machine learning,"P Motarwar, A Duraphe, G Suganya… ",2020, ieeexplore,98,https://ieeexplore.ieee.org/abstract/document/9077680/
A review: Heart disease prediction in machine learning & deep learning,"WAWA Bakar, NLNB Josdi, MB Man… ",2023, ieeexplore,40,https://ieeexplore.ieee.org/abstract/document/10087837/
A comparative study of heart disease prediction using machine learning techniques,"B Akkaya, E Sener, C Gursu ",2022, ieeexplore,24,https://ieeexplore.ieee.org/abstract/document/9799978/
A review on heart disease prediction using machine learning techniques,"AH Seh, PK Chaurasia ",2019, indianjournals,20,https://www.indianjournals.com/ijor.aspx?target=ijor:ijmie&volume=9&issue=4&article=018
 Heart disease prediction system using machine learning,"R Shrestha, JM Chatterjee ",2019, academia,14,https://www.academia.edu/download/61580232/1-2-115-132_Heart_Disease_Prediction_System_Using_Maching20191222-57384-1t9oycn.pdf
 Heart disease prediction using machine learning and data mining,"K Srivastava, DK Choubey ",2020, researchgate,45,https://www.researchgate.net/profile/Dilip-Choubey-2/publication/342210798_Heart_Disease_Prediction_using_Machine_Learning_and_Data_Mining/links/5ee8cb6592851ce9e7e7f585/Heart-Disease-Prediction-using-Machine-Learning-and-Data-Mining.pdf
Heart disease prediction using machine learning techniques,"S Barik, S Mohanty, D Rout, S Mohanty… ",2020, Springer,35,https://link.springer.com/chapter/10.1007/978-981-15-5262-5_67
 A web-based heart disease prediction system using machine learning algorithms,MM Rahman ,2022, iaees,53,http://www.iaees.org/publications/journals/nb/articles/2022-12(2)/web-based-heart-disease-prediction-system.pdf
Heart disease prediction using machine learning techniques,"S Guruprasad, VL Mathias… ",2021, ieeexplore,21,https://ieeexplore.ieee.org/abstract/document/9707966/
An empirical study on machine learning algorithms for heart disease prediction,"TA Assegie, PK Rangarajan, NK Kumar… ",2022, search,37,https://search.proquest.com/openview/a607c8361a7aac7002d0d87e9200ad3a/1?pq-origsite=gscholar&cbl=1686339
Effective feature engineering technique for heart disease prediction with machine learning,"AM Qadri, A Raza, K Munir, MS Almutairi ",2023, ieeexplore,51,https://ieeexplore.ieee.org/abstract/document/10138551/
Machine learning based heart disease prediction system,"MS Raja, M Anurag, CP Reddy… ",2021, ieeexplore,65,https://ieeexplore.ieee.org/abstract/document/9402653/
Heart disease prediction using machine learning techniques,"R Williams, T Shongwe, AN Hasan… ",2021, ieeexplore,26,https://ieeexplore.ieee.org/abstract/document/9655783/
A hybrid framework for heart disease prediction using machine learning algorithms,"L Chandrika, K Madhavi ",2021,conferences,29,https://www.e3s-conferences.org/articles/e3sconf/abs/2021/85/e3sconf_icmed2021_01043/e3sconf_icmed2021_01043.html
Heart disease prediction using machine learning,"S Bilgaiyan, TI Ayon, AA Khan… ",2023, ieeexplore,17,https://ieeexplore.ieee.org/abstract/document/10128378/
 Analyzing the impact of feature selection methods on machine learning algorithms for heart disease prediction,"Z Noroozi, A Orooji, L Erfannia ",2023, nature,55,https://www.nature.com/articles/s41598-023-49962-w
 Machine learning techniques for precise heart disease prediction,MK Saini ,2023, researchgate,17,https://www.researchgate.net/profile/Mukesh-Saini-12/publication/382268329_Machine_Learning_Techniques_for_Precise_Heart_Disease_Prediction/links/66ada2fc299c327096a79b93/Machine-Learning-Techniques-for-Precise-Heart-Disease-Prediction.pdf
 Evaluating the Effectiveness of Machine Learning for Heart Disease Prediction in Healthcare Sector,"KM Jha, V Velaga, KK Routhu, G Sadaram… ",2025, researchgate,34,https://www.researchgate.net/profile/Falade-Adeola/publication/389282865_Evaluating_the_Effectiveness_of_Machine_Learning_for_Heart_Disease_Prediction_in_Healthcare_Sector/links/67bd29c18311ce680c739505/Evaluating-the-Effectiveness-of-Machine-Learning-for-Heart-Disease-Prediction-in-Healthcare-Sector.pdf
Heart Disease Prediction Using Machine Learning and Data Analytics Approach,"RS Patil, M Gangwar ",2022, Springer,29,https://link.springer.com/chapter/10.1007/978-981-19-0976-4_29
An efficient heart disease prediction system using machine learning,"D Swain, P Ballal, V Dolase, B Dash… ",2020, Springer,39,https://link.springer.com/chapter/10.1007/978-981-15-1884-3_4
 Heart disease prediction and classification using machine learning algorithms optimized by particle swarm optimization and ant colony optimization.,"Y Khourdifi, M Baha ",2019, academia,336,https://www.academia.edu/download/69272653/3c5dd976557d5177f4c1aa29ebb796fe7036.pdf
Heart disease prediction using machine learning techniques,"U Sadar, P Agarwal, S Parveen, S Jain… ",2023, Springer,15,https://link.springer.com/chapter/10.1007/978-981-97-8031-0_59
IoT based heart disease prediction and diagnosis model for healthcare using machine learning models,"M Ganesan, N Sivakumar ",2019, ieeexplore,158,https://ieeexplore.ieee.org/abstract/document/8878850/
Machine-learning algorithms for ischemic heart disease prediction: a systematic review,"SH Bani Hani, MM Ahmad ",2023, benthamdirect,36,https://www.benthamdirect.com/content/journals/ccr/10.2174/1573403X18666220609123053
 Prediction of heart disease using machine learning algorithms,"S Nikhar, AM Karandikar ",2016, academia,133,https://www.academia.edu/download/46821906/11_Prediction_of_Heart_Disease_Using_Machine_Learning_Algorithms.pdf
Heart disease prediction using modified machine learning algorithm,"B Kaur, G Kaur ",2022, Springer,35,https://link.springer.com/chapter/10.1007/978-981-19-2821-5_16
Heart disease prediction using machine learning and deep learning algorithms,"K Vayadande, R Golawar, S Khairnar… ",2022, ieeexplore,45,https://ieeexplore.ieee.org/abstract/document/9844406/
Exploring machine learning techniques for coronary heart disease prediction,H Khdair ,2021, philpapers,39,https://philpapers.org/rec/KHDEML
Research of heart disease prediction based on machine learning,S Ouyang ,2022, ieeexplore,31,https://ieeexplore.ieee.org/abstract/document/9948280/
 Fusion-Based Machine Learning Architecture for Heart Disease Prediction.,"MW Nadeem, HG Goh, MA Khan… ",2021, researchgate,83,https://www.researchgate.net/profile/Muhammad-Khan-121/publication/348909395_Fusion-Based_Machine_Learning_Architecture_for_Heart_Disease_Prediction/links/6015975845851517ef2a83a3/Fusion-Based-Machine-Learning-Architecture-for-Heart-Disease-Prediction.pdf
 The efficacy of machine-learning-supported smart system for heart disease prediction,"N Absar, EK Das, SN Shoma, MU Khandaker… ",2022, mdpi,57,https://www.mdpi.com/2227-9032/10/6/1137
 Heart disease prediction using machine learning algorithms with self-measurable physical condition indicators,"H Sun, J Pan ",2023, scirp,23,https://www.scirp.org/journal/paperinformation?paperid=122494
Classification and feature selection approaches by machine learning techniques: Heart disease prediction,"NSC Reddy, SS Nee, LZ Min, CX Ying ",2019, ijic,90,https://ijic.utm.my/index.php/ijic/article/view/210
Improving Accuracy of Heart Disease Prediction through Machine Learning Algorithms,"MA Shaik, R Sreeja, S Zainab… ",2023, ieeexplore,23,https://ieeexplore.ieee.org/abstract/document/10100244/
 Advancing Heart Disease Prediction through Machine Learning: Techniques and Insights for Improved Cardiovascular Health,"PK Bhowmik, MNI Miah, MK Uddin… ",2024, researchgate,15,https://www.researchgate.net/profile/Nisha-Gurung-9/publication/387187140_Advancing_Heart_Disease_Prediction_through_Machine_Learning_Techniques_and_Insights_for_Improved_Cardiovascular_Health/links/6763a3fa7784cf161e0b3a3e/Advancing-Heart-Disease-Prediction-through-Machine-Learning-Techniques-and-Insights-for-Improved-Cardiovascular-Health.pdf
 Multi-label active learning-based machine learning model for heart disease prediction,IM El,2022, mdpi,151,https://www.mdpi.com/1424-8220/22/3/1184
Performance evaluation of machine learning techniques (MLT) for heart disease prediction,"GA Ansari, SS Bhat, MD Ansari… ",2023, Wiley Online Library,35,https://onlinelibrary.wiley.com/doi/abs/10.1155/2023/8191261
Heart disease prediction using supervised machine learning algorithms,"N Mohan, V Jain, G Agrawal ",2021, ieeexplore,27,https://ieeexplore.ieee.org/abstract/document/9702314/
Effective study of machine learning algorithms for heart disease prediction,"MJ Gaikwad, PS Asole, LS Bitla ",2022, ieeexplore,31,https://ieeexplore.ieee.org/abstract/document/9726613/
Prediction of heart disease using machine learning algorithms,"G Choudhary, SN Singh ",2020, ieeexplore,176,https://ieeexplore.ieee.org/abstract/document/9276802/
A method for improving prediction of human heart disease using machine learning algorithms,"A Saboor, M Usman, S Ali, A Samad… ",2022, Wiley Online Library,143,https://onlinelibrary.wiley.com/doi/abs/10.1155/2022/1410169
 Heart disease prediction using machine learning techniques,"N Nissa, S Jamwal, S Mohammad ",2021, researchgate,10,https://www.researchgate.net/profile/Najmu-Nissa/publication/351662709_Heart_Disease_Prediction_using_Machine_Learning_Techniques/links/60a3f5fea6fdcc74c17630a3/Heart-Disease-Prediction-using-Machine-Learning-Techniques.pdf
Machine learning based hybrid technique for heart disease prediction,"SS Negi, M Memoria, R Kumar, K Joshi… ",2022, ieeexplore,49,https://ieeexplore.ieee.org/abstract/document/10009219/
Machine learning IoT based framework for analysing heart disease prediction,"AK Velmurugan, K Padmanaban, AM Kumar… ",2023, pubs,47,https://pubs.aip.org/aip/acp/article-abstract/2523/1/020038/2875113
Heart disease prediction system using ensemble of machine learning algorithms,"NA Rajendran, DR Vincent ",2021, benthamdirect,18,https://www.benthamdirect.com/content/journals/eng/10.2174/1872212113666190328220514
A novel blockchain-enabled heart disease prediction mechanism using machine learning,"H Hasanova, M Tufail, UJ Baek, JT Park… ",2022, Elsevier,72,https://www.sciencedirect.com/science/article/pii/S004579062200341X
Coronary heart disease prediction and classification using hybrid machine learning algorithms,"KB Sk, D Roja, SS Priya, L Dalavi… ",2023, ieeexplore,79,https://ieeexplore.ieee.org/abstract/document/10099579/
 Heart disease prediction using machine learning algorithms,A Agrahary ,2020, academia,12,https://www.academia.edu/download/69585375/CSEIT206421.pdf
Heart disease prediction using entropy based feature engineering and ensembling of machine learning classifiers,"R Rajendran, A Karthi ",2022, Elsevier,47,https://www.sciencedirect.com/science/article/pii/S0957417422011332
Comparative study of machine learning algorithms for heart disease prediction,A Acharya ,2017, theseus,26,https://www.theseus.fi/handle/10024/124622
 Heart disease prediction using machine learning techniques,"R Yaswanth, YM Riyazuddin ",2020, researchgate,10,https://www.researchgate.net/profile/Raparthi_Yaswanth/publication/357876870_Heart_Prediction_using_machine_learning_techniques/links/61e529ab5779d35951b45d1d/Heart-Prediction-using-machine-learning-techniques.pdf
Heart disease and liver disease prediction using machine learning,"DVS Kumar, R Chaurasia, A Misra… ",2023, taylorfrancis,25,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003356189-13/heart-disease-liver-disease-prediction-using-machine-learning-divvela-vishnu-sai-kumar-ritik-chaurasia-anuradha-misra-praveen-kumar-misra-alex-khang
Heart disease prediction using core machine learning techniques—a comparative study,"S Sarah, MK Gourisaria, S Khare, H Das ",2022, Springer,41,https://link.springer.com/chapter/10.1007/978-981-16-5689-7_22
Heart disease prediction using machine learning method,"M Rasheed, MA Khan, NS Elmitwally… ",2022, ieeexplore,11,https://ieeexplore.ieee.org/abstract/document/9995736/
 Heart disease prediction using machine learning techniques: A survey,"MMA Mary, TLA Beena ",2020, academia,11,https://www.academia.edu/download/64865829/31917.pdf
Heart disease prediction by using machine learning algorithms,"A Erdoğan, S Güney ",2020, ieeexplore,11,https://ieeexplore.ieee.org/abstract/document/9302468/
Intelligent Cloud Based Heart Disease Prediction System Empowered with Supervised Machine Learning.,"MA Khan, S Abbas, A Atta, A Ditta… ",2020, search,79,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=15462218&AN=144780641&h=5grMCfT%2BRAl6YvHD8T4Q8Lr4ejEDEO7k8PRP9Av1DjLx%2BH8BZfidqUAgdugYB336n7VWmcsopLGly%2Bupi%2BJvzQ%3D%3D&crl=c
 Enhanced Heart Disease Prediction Based on Machine Learning and χ2 Statistical Optimal Feature Selection Model,"RR Sarra, AM Dinar, MA Mohammed, KH Abdulkareem ",2022, mdpi,81,https://www.mdpi.com/2411-9660/6/5/87
Heart disease prediction using various algorithms of machine learning,R Goel ,2021, papers,36,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3884968
Comprehensive review on machine learning approach for heart disease prediction: Current status and future prospects,"D Yewale, SP Vijayragavan ",2022, pubs,13,https://pubs.aip.org/aip/acp/article-abstract/2463/1/020043/2825082
Feature optimization based heart disease prediction using machine learning,"DP Yadav, P Saini, P Mittal ",2021, ieeexplore,28,https://ieeexplore.ieee.org/abstract/document/9702410/
Diabetes & heart disease prediction using machine learning,"B Dhande, K Bamble, S Chavan… ",2022,conferences,11,https://www.itm-conferences.org/articles/itmconf/abs/2022/04/itmconf_icacc2022_03057/itmconf_icacc2022_03057.html
 Heart disease prediction based on external factors: A machine learning approach,"MA Tamal, MS Islam, MJ Ahmmed, MA Aziz… ",2019, academia,16,https://www.academia.edu/download/87184481/Paper_60-Heart_Disease_Prediction_based_on_External_Factors.pdf
Survey of heart disease prediction and identification using machine learning approaches,"RG Franklin, B Muthukumar ",2020, ieeexplore,18,https://ieeexplore.ieee.org/abstract/document/9316119/
Heart disease prediction using machine learning techniques,"P Singh, IS Virk ",2023, ieeexplore,12,https://ieeexplore.ieee.org/abstract/document/10085584/
Dynamic heart disease prediction using multi-machine learning techniques,"S Farzana, D Veeraiah ",2020, ieeexplore,18,https://ieeexplore.ieee.org/abstract/document/9277165/
Machine learning–based heart disease prediction system for Indian population: An exploratory study done in South India,"E Maini, B Venkateswarlu, B Maini… ",2021, Elsevier,69,https://www.sciencedirect.com/science/article/pii/S0377123720302148
Heart Disease Prediction using Machine learning algorithms,"R Gupta, SD Sharma, Y Kumar ",2023, ir,10,http://www.ir.juit.ac.in:8080/jspui/handle/123456789/9936
 Revolutionizing heart disease prediction with quantum-enhanced machine learning,"SV Babu, P Ramya, J Gracewell ",2024, nature,23,https://www.nature.com/articles/s41598-024-55991-w
 An improved machine learning technique with effective heart disease prediction system,"MT Quasim, S Alhuwaimel, A Shaikh, Y Asiri… ",2021, academia,10,https://www.academia.edu/download/103322789/pdf.pdf
Comparative analysis of machine learning algorithms for heart disease prediction,R Hasan ,2021,conferences,29,https://www.itm-conferences.org/articles/itmconf/abs/2021/05/itmconf_icacc2021_03007/itmconf_icacc2021_03007.html
Improving heart disease prediction accuracy using a hybrid machine learning approach: A comparative study of svm and knn algorithms,"R Ahmed, M Bibi, S Syed ",2023, journals,43,https://www.journals.gaftim.com/index.php/ijcim/article/view/223
ECG data analysis and heart disease prediction using machine learning algorithms,"SR Tithi, A Aktar, F Aleem… ",2019, ieeexplore,21,https://ieeexplore.ieee.org/abstract/document/8971374/
 Prediction of heart disease using machine learning algorithms: A survey,"H Sharma, MA Rizvi ",2017, academia,149,https://www.academia.edu/download/56830289/1503650205_25-08-2017.pdf
"Heart disease prediction using machine learning, deep Learning and optimization techniques-A semantic review","GS Bhavekar, A Das Goswami, CP Vasantrao… ",2024, Springer,6,https://link.springer.com/article/10.1007/s11042-024-19680-0
 Effective prediction model for heart disease using machine learning algorithm,"G Nagrajan, APM Raju, V Logeshwaran… ",2016, academia,10,https://www.academia.edu/download/66398787/effective_prediction_model_for_heart_disease_IJERTCONV7IS01045.pdf
Heart Disease Prediction Using Machine Learning,"N Nazir, A Saraogi, K Kaur, V Bera… ",2023, ieeexplore,7,https://ieeexplore.ieee.org/abstract/document/10397848/
Heart Disease Prediction Using Machine Learning,"M Swathisree, E Gayathri… ",2024, ieeexplore,3,https://ieeexplore.ieee.org/abstract/document/10568792/
 Machine learning for multiple stage heart disease prediction,"K Amen, M Zohdy, M Mahmoud ",2020, csitcp,14,https://csitcp.org/paper/10/1011csit18.pdf
Interpretable machine learning model for heart disease prediction,"PS Asih, Y Azhar, GW Wicaksono, DR Akbi ",2023, Elsevier,10,https://www.sciencedirect.com/science/article/pii/S1877050923017118
A prediction of heart disease using machine learning algorithms,"MF Ansari, B Alankar, H Kaur ",2021, Springer,31,https://link.springer.com/chapter/10.1007/978-3-030-51859-2_45
Improving coronary heart disease prediction through machine learning and an innovative data augmentation technique,AM Al,2023, Springer,19,https://link.springer.com/article/10.1007/s12559-023-10151-6
 A cardiovascular disease prediction using machine learning algorithms,"PE Rubini, CA Subasini, AV Katharine… ",2021, researchgate,88,https://www.researchgate.net/profile/Rubini-Pe/publication/350312435_A_Cardiovascular_Disease_Prediction_using_Machine_Learning_Algorithms/links/6059757e299bf1736760a00e/A-Cardiovascular-Disease-Prediction-using-Machine-Learning-Algorithms.pdf
 An effective heart disease prediction framework based on ensemble techniques in machine learning,"D Yewale, SP Vijayaragavan… ",2023, academia,15,https://www.academia.edu/download/101033848/Paper_23-An_Effective_Heart_Disease_Prediction_Framework.pdf
Heart disease prediction using machine learning algorithms,"G Logabiraman, D Ganesh, MS Kumar… ",2024,conferences,7,https://www.matec-conferences.org/articles/matecconf/abs/2024/04/matecconf_icmed2024_01122/matecconf_icmed2024_01122.html
Heart disease prediction: a comparative study based on a machine-learning approach,"P Dutta, S Paul, N Shaw, S Sen… ",2022, taylorfrancis,14,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003097518-1/heart-disease-prediction-pijush-dutta-shobhandeb-paul-neha-shaw-susmita-sen-madhurima-majumder
Heart disease prediction using different machine learning algorithms,"A Bhowmick, KD Mahato, C Azad… ",2022, ieeexplore,18,https://ieeexplore.ieee.org/abstract/document/9848885/
 Diabetes and Heart Disease Prediction Using Machine Learning Algorithms,"SM Pasha, S Ankalaki ",2020, academia,10,https://www.academia.edu/download/64187857/ijeter60872020.pdf
Study of machine learning algorithms for special disease prediction using principal of component analysis,"BD Kanchan, MM Kishor ",2016, ieeexplore,156,https://ieeexplore.ieee.org/abstract/document/7955260/
 Explainable heart disease prediction using ensemble-quantum machine learning approach,"G Abdulsalam, S Meshoul, H Shaiba ",2023, academia,68,https://www.academia.edu/download/106104716/TSP_IASC_32262.pdf
 Hrv based human heart disease prediction and classification using machine learning,"S Maher, SA Hannan, S Tharewal… ",2019, academia,23,https://www.academia.edu/download/72843473/ijca2019919714.pdf
A systematic literature review on heart disease prediction using blockchain and machine learning techniques,"A Nouman, S Muneer ",2022, ijcis,27,https://ijcis.com/index.php/IJCIS/article/view/52
 Enhanced accuracy of heart disease prediction using machine learning and recurrent neural networks ensemble majority voting method,"I Javid, AKZ Alsaedi, R Ghazali ",2020, researchgate,78,https://www.researchgate.net/profile/Ahmed-Zager/publication/340299532_Enhanced_Accuracy_of_Heart_Disease_Prediction_using_Machine_Learning_and_Recurrent_Neural_Networks_Ensemble_Majority_Voting_Method/links/6069e0f0a6fdccad3f714500/Enhanced-Accuracy-of-Heart-Disease-Prediction-using-Machine-Learning-and-Recurrent-Neural-Networks-Ensemble-Majority-Voting-Method.pdf
 Hybrid machine learning techniques for heart disease prediction,"S Sharanyaa, S Lavanya, MR Chandhini… ",2020, academia,15,https://www.academia.edu/download/63006682/hybrid_machine_learning_technique_for_heart_disease__prediction_IJAERS_published20200418-127552-19p8020.pdf
An integrated machine learning techniques for accurate heart disease prediction,"A Al Ahdal, M Rakhra, S Badotra… ",2022, ieeexplore,19,https://ieeexplore.ieee.org/abstract/document/9752342/
Analysis of heart disease prediction using various machine learning techniques,"M Marimuthu, S Deivarani… ",2019, taylorfrancis,10,https://www.taylorfrancis.com/chapters/edit/10.1201/9780429446030-13/analysis-heart-disease-prediction-using-various-machine-learning-techniques-marimuthu-deivarani-gayathri
Effect of imbalance data handling techniques to improve the accuracy of heart disease prediction using machine learning and deep learning,"MA Sahid, M Hasan, N Akter… ",2022, ieeexplore,28,https://ieeexplore.ieee.org/abstract/document/9864473/
Advancements in heart disease prediction: A machine learning approach for early detection and risk assessment,"BS Ingole, V Ramineni, N Bangad, KK Ganeeb… ",2024, arxiv,10,https://arxiv.org/abs/2410.14738
Impact of categorical and numerical features in ensemble machine learning frameworks for heart disease prediction,"C Pan, A Poddar, R Mukherjee, AK Ray ",2022, Elsevier,55,https://www.sciencedirect.com/science/article/pii/S1746809422001884
 Heart disease risk prediction using machine learning classifiers with attribute evaluators,"KVV Reddy, I Elamvazuthi, AA Aziz, S Paramasivam… ",2021, mdpi,113,https://www.mdpi.com/2076-3417/11/18/8352
Prediction of heart disease using a combination of machine learning and deep learning,"R Bharti, A Khamparia, M Shabaz… ",2021, Wiley Online Library,617,https://onlinelibrary.wiley.com/doi/abs/10.1155/2021/8387680
 Developing a hyperparameter tuning based machine learning approach of heart disease prediction,"EK Hashi, MSU Zaman ",2020, publisher,61,https://publisher.unimas.my/ojs/index.php/JASPE/article/view/2639
Precision healthcare: A deep dive into machine learning algorithms and feature selection strategies for accurate heart disease prediction,"MA Islam, MZH Majumder, MS Miah… ",2024, Elsevier,13,https://www.sciencedirect.com/science/article/pii/S001048252400516X
Predicting heart disease at early stages using machine learning: a survey,"R Katarya, P Srinivas ",2020, ieeexplore,163,https://ieeexplore.ieee.org/abstract/document/9155586/
A hybrid intelligent system framework for the prediction of heart disease using machine learning algorithms,"AU Haq, JP Li, MH Memon, S Nazir… ",2018, Wiley Online Library,695,https://onlinelibrary.wiley.com/doi/abs/10.1155/2018/3860146
Heart disease prediction using machine learning algorithms: Performance analysis,"S Saha, MM Rahman, TT Suki, MM Alam… ",2024, ieeexplore,4,https://ieeexplore.ieee.org/abstract/document/10561820/
Heart disease prediction using data mining techniques,"S Anitha, N Sridevi ",2019, hal,59,https://hal.science/hal-02196156/
Machine learning technology‐based heart disease detection models,"U Nagavelli, D Samanta… ",2022, Wiley Online Library,178,https://onlinelibrary.wiley.com/doi/abs/10.1155/2022/7351061
Heart Disease Prediction Using Machine Learning Algorithms,"D Jrab, D Eleyan, A Eleyan… ",2024, ieeexplore,3,https://ieeexplore.ieee.org/abstract/document/10577725/
 WT-CNN: a hybrid machine learning model for heart disease prediction,"F Mohammad, S Al",2023, mdpi,12,https://www.mdpi.com/2227-7390/11/22/4681
Efficient heart disease prediction system,"K Saxena, R Sharma ",2016, Elsevier,237,https://www.sciencedirect.com/science/article/pii/S187705091630638X
